metric,split,model,train_days,origin,train_end,test_end,actual_total,forecast_total,residual_total,absolute_total_error,daily_absolute_error_sum,daily_squared_error_sum,total_ape_pct
revenue_rub,development,mean7,14,2026-08-18,2026-08-17,2026-08-24,1027938.0,485375.0,542563.0,542563.0,700837.2857142857,154158539050.4286,52.78168527673848
revenue_rub,development,mean7,15,2026-08-19,2026-08-18,2026-08-25,1108478.0,450155.0,658323.0,658323.0,769950.1428571428,165767060696.14285,59.389811976421726
revenue_rub,development,mean7,16,2026-08-20,2026-08-19,2026-08-26,1136173.0,391605.0,744568.0,744568.0,806882.2857142858,178060779756.85718,65.53297781235781
revenue_rub,development,mean7,17,2026-08-21,2026-08-20,2026-08-27,1221013.0,371380.0,849633.0,849633.0,899451.5714285714,189539952131.85712,69.58427142053361
revenue_rub,development,mean7,18,2026-08-22,2026-08-21,2026-08-28,1253068.0,322835.0,930233.0,930233.0,930233.0,201536212984.71426,74.2364340961544
revenue_rub,development,mean7,19,2026-08-23,2026-08-22,2026-08-29,1097443.0,525640.0,571803.0,571803.0,601585.8571428572,122931131951.85713,52.10320718251427
revenue_rub,development,mean7,20,2026-08-24,2026-08-23,2026-08-30,879288.0,877050.0,2238.0,2238.0,274395.14285714284,13297778118.285715,0.254524114965745
revenue_rub,development,mean7,21,2026-08-25,2026-08-24,2026-08-31,901403.0,1027938.0,-126535.0,126535.0,304197.85714285716,18589273864.142857,14.037561445879367
revenue_rub,development,mean7,22,2026-08-26,2026-08-25,2026-09-01,986633.0,1108478.0,-121845.0,121845.0,390537.0,26844484267.0,12.349576792991924
revenue_rub,development,mean7,23,2026-08-27,2026-08-26,2026-09-02,1119838.0,1136173.0,-16335.0,16335.0,371227.5714285714,24819071134.142857,1.4586931323995078
revenue_rub,development,mean7,24,2026-08-28,2026-08-27,2026-09-03,1162813.0,1221013.0,-58200.0,58200.0,328071.71428571426,24909526373.428574,5.00510400210524
revenue_rub,development,mean14,14,2026-08-18,2026-08-17,2026-08-24,1027938.0,879375.835,148562.16500000004,148562.16500000004,757123.1192857143,115257983036.21246,14.45244411627939
revenue_rub,development,mean14,15,2026-08-19,2026-08-18,2026-08-25,1108478.0,867865.835,240612.16500000004,240612.16500000004,710277.1664285715,112124923784.28389,21.70653499663503
revenue_rub,development,mean14,16,2026-08-20,2026-08-19,2026-08-26,1136173.0,862500.835,273672.16500000004,273672.16500000004,683348.595,109562915081.39816,24.087191387227126
revenue_rub,development,mean14,17,2026-08-21,2026-08-20,2026-08-27,1221013.0,857570.835,363442.16500000004,363442.16500000004,629042.6421428572,105284805361.98389,29.765626164504393
